point_id,scenario_name,target_return,portfolio_return,portfolio_risk
1,no_short,1.1102182251716787e-05,1.1102182251716787e-05,0.010051022654606773
2,no_short,3.06368559609811e-05,3.063685596098114e-05,0.010051745170500165
3,no_short,5.017152967024541e-05,5.017152967024541e-05,0.010053793087363556
4,no_short,6.970620337950973e-05,6.97062033795098e-05,0.010057345359374902
5,no_short,8.924087708877404e-05,8.924087708877404e-05,0.010062202871135236
6,no_short,0.00010877555079803835,0.00010877555079803831,0.010068571491973748
7,no_short,0.00012831022450730266,0.00012831022450730264,0.010076237618027298
8,no_short,0.000147844898216567,0.000147844898216567,0.010085410735042693
9,no_short,0.0001673795719258313,0.00016737957192583124,0.010095875266846176
10,no_short,0.0001869142456350956,0.00018691424563509554,0.010107837819376143
11,no_short,0.00020644891934435992,0.00020644891934435984,0.0101212512250693
12,no_short,0.00022598359305362424,0.00022598359305362427,0.010136651436373247
13,no_short,0.00024551826676288854,0.0002455182667628886,0.010153844595586015
14,no_short,0.00026505294047215284,0.00026505294047215284,0.010173009819650147
15,no_short,0.0002845876141814172,0.0002845876141814172,0.010193948904822076
16,no_short,0.0003041222878906815,0.00030412228789068144,0.010216836204738972
17,no_short,0.0003236569615999458,0.0003236569615999458,0.010241474869817463
18,no_short,0.0003431916353092101,0.00034319163530921015,0.01026803410290258
19,no_short,0.0003627263090184744,0.0003627263090184744,0.010296319845071471
20,no_short,0.00038226098272773875,0.0003822609827277388,0.010326493961779587
21,no_short,0.00040179565643700305,0.0004017956564370031,0.010358367231131349
22,no_short,0.00042133033014626735,0.00042133033014626735,0.010392086905866313
23,no_short,0.0004408650038555317,0.00044086500385553165,0.010427241105999721
24,no_short,0.000460399677564796,0.000460399677564796,0.010463779599488571
25,no_short,0.0004799343512740603,0.00047993435127406035,0.010501673573434425
26,no_short,0.0004994690249833247,0.0004994690249833245,0.010540952981079637
27,no_short,0.0005190036986925889,0.0005190036986925888,0.010581497689308906
28,no_short,0.0005385383724018533,0.0005385383724018534,0.01062337626095236
29,no_short,0.0005580730461111176,0.0005580730461111176,0.010666594153897218
30,no_short,0.0005776077198203818,0.0005776077198203818,0.010711032116142364
31,no_short,0.0005971423935296462,0.0005971423935296461,0.010756757759868563
32,no_short,0.0006166770672389104,0.0006166770672389107,0.010803770086397173
33,no_short,0.0006362117409481748,0.000636211740948175,0.010851960043392159
34,no_short,0.0006557464146574392,0.0006557464146574393,0.010901421498121754
35,no_short,0.0006752810883667034,0.0006752810883667033,0.010952025829899239
36,no_short,0.0006948157620759678,0.0006948157620759678,0.011003864725460734
37,no_short,0.000714350435785232,0.0007143504357852318,0.011056830308110579
38,no_short,0.0007338851094944964,0.0007338851094944962,0.011110978068314415
39,no_short,0.0007534197832037607,0.0007534197832037606,0.011166247049189601
40,no_short,0.000772954456913025,0.000772954456913025,0.01122261661153728
41,no_short,0.0007924891306222893,0.0007924891306222893,0.011279977969131242
42,no_short,0.0008120238043315537,0.0008120238043315538,0.011338355889517862
43,no_short,0.0008315584780408179,0.0008315584780408179,0.011397760924209632
44,no_short,0.0008510931517500823,0.0008510931517500824,0.011458108792805996
45,no_short,0.0008706278254593466,0.0008706278254593466,0.01151951167844955
46,no_short,0.0008901624991686109,0.0008901624991686109,0.011583101940873171
47,no_short,0.0009096971728778752,0.0009096971728778752,0.01164930811438052
48,no_short,0.0009292318465871395,0.0009292318465871395,0.011718047619815894
49,no_short,0.0009487665202964038,0.0009487665202964038,0.011789360599350445
50,no_short,0.0009683011940056682,0.0009683011940056683,0.011863156318361672
51,no_short,0.0009878358677149325,0.0009878358677149325,0.011939343861596634
52,no_short,0.0010073705414241968,0.0010073705414241968,0.012017967100545942
53,no_short,0.001026905215133461,0.001026905215133461,0.012098934561900674
54,no_short,0.0010464398888427255,0.0010464398888427255,0.012182649329690699
55,no_short,0.0010659745625519897,0.0010659745625519895,0.01227139158519229
56,no_short,0.001085509236261254,0.0010855092362612537,0.012365294204580421
57,no_short,0.0011050439099705184,0.0011050439099705184,0.012464244739616246
58,no_short,0.0011245785836797827,0.0011245785836797827,0.01256812376649233
59,no_short,0.001144113257389047,0.001144113257389047,0.01267681009170364
60,no_short,0.0011636479310983112,0.0011636479310983112,0.01279018116598615
61,no_short,0.0011831826048075756,0.0011831826048075756,0.012908113552701153
62,no_short,0.0012027172785168399,0.0012027172785168399,0.01303048340594366
63,no_short,0.0012222519522261041,0.0012222519522261041,0.01315716691268064
64,no_short,0.0012417866259353686,0.0012417866259353684,0.01328804069891903
65,no_short,0.0012613212996446328,0.001261321299644633,0.013422982199814774
66,no_short,0.001280855973353897,0.0012808559733538968,0.013561869993824055
67,no_short,0.0013003906470631615,0.0013003906470631615,0.013704584101484134
